TITLE="privet"
VARIABLES="x", "y", "z"
ZONE T="zone", I=100, J=100, F=POINT
-6.03186 -6.03186 2.51622e-017
-5.90619 -6.03186 5.32732e-017
-5.78053 -6.03186 1.11022e-016
-5.65487 -6.03186 2.27748e-016
-5.5292 -6.03186 4.59876e-016
-5.40354 -6.03186 9.14045e-016
-5.27788 -6.03186 1.78829e-015
-5.15221 -6.03186 3.44389e-015
-5.02655 -6.03186 6.52833e-015
-4.90088 -6.03186 1.21814e-014
-4.77522 -6.03186 2.23735e-014
-4.64956 -6.03186 4.04495e-014
-4.52389 -6.03186 7.19837e-014
-4.39823 -6.03186 1.26095e-013
-4.27257 -6.03186 2.17421e-013
-4.1469 -6.03186 3.69019e-013
-4.02124 -6.03186 6.16505e-013
-3.89557 -6.03186 1.01383e-012
-3.76991 -6.03186 1.64112e-012
-3.64425 -6.03186 2.61489e-012
-3.51858 -6.03186 4.10118e-012
-3.39292 -6.03186 6.33151e-012
-3.26726 -6.03186 9.62159e-012
-3.14159 -6.03186 1.43922e-011
-3.01593 -6.03186 2.1191e-011
-2.89026 -6.03186 3.07127e-011
-2.7646 -6.03186 4.38152e-011
-2.63894 -6.03186 6.15282e-011
-2.51327 -6.03186 8.50482e-011
-2.38761 -6.03186 1.15717e-010
-2.26195 -6.03186 1.54979e-010
-2.13628 -6.03186 2.0431e-010
-2.01062 -6.03186 2.65124e-010
-1.88495 -6.03186 3.38648e-010
-1.75929 -6.03186 4.25786e-010
-1.63363 -6.03186 5.26958e-010
-1.50796 -6.03186 6.41951e-010
-1.3823 -6.03186 7.69786e-010
-1.25664 -6.03186 9.08615e-010
-1.13097 -6.03186 1.05568e-009
-1.00531 -6.03186 1.20733e-009
-0.879644 -6.03186 1.35913e-009
-0.75398 -6.03186 1.50605e-009
-0.628317 -6.03186 1.6427e-009
-0.502653 -6.03186 1.76368e-009
-0.376989 -6.03186 1.8639e-009
-0.251325 -6.03186 1.93896e-009
-0.125662 -6.03186 1.98543e-009
1.93715e-006 -6.03186 2.00117e-009
0.125666 -6.03186 1.98543e-009
0.251329 -6.03186 1.93896e-009
0.376993 -6.03186 1.8639e-009
0.502657 -6.03186 1.76368e-009
0.62832 -6.03186 1.6427e-009
0.753984 -6.03186 1.50604e-009
0.879648 -6.03186 1.35913e-009
1.00531 -6.03186 1.20732e-009
1.13098 -6.03186 1.05567e-009
1.25664 -6.03186 9.08611e-010
1.3823 -6.03186 7.69782e-010
1.50797 -6.03186 6.41947e-010
1.63363 -6.03186 5.26954e-010
1.75929 -6.03186 4.25783e-010
1.88496 -6.03186 3.38646e-010
2.01062 -6.03186 2.65122e-010
2.13629 -6.03186 2.04308e-010
2.26195 -6.03186 1.54978e-010
2.38761 -6.03186 1.15716e-010
2.51328 -6.03186 8.50474e-011
2.63894 -6.03186 6.15275e-011
2.7646 -6.03186 4.38147e-011
2.89027 -6.03186 3.07123e-011
3.01593 -6.03186 2.11908e-011
3.1416 -6.03186 1.43921e-011
3.26726 -6.03186 9.62147e-012
3.39292 -6.03186 6.33142e-012
3.51859 -6.03186 4.10113e-012
3.64425 -6.03186 2.61485e-012
3.76991 -6.03186 1.64109e-012
3.89558 -6.03186 1.01382e-012
4.02124 -6.03186 6.16495e-013
4.14691 -6.03186 3.69013e-013
4.27257 -6.03186 2.17418e-013
4.39823 -6.03186 1.26093e-013
4.5239 -6.03186 7.19825e-014
4.64956 -6.03186 4.04488e-014
4.77522 -6.03186 2.23731e-014
4.90089 -6.03186 1.21812e-014
5.02655 -6.03186 6.52821e-015
5.15222 -6.03186 3.44382e-015
5.27788 -6.03186 1.78825e-015
5.40354 -6.03186 9.14027e-016
5.52921 -6.03186 4.59866e-016
5.65487 -6.03186 2.27743e-016
